Points:0	Points:1	abs_DELTA_V0	DELTA_V0
5.27273	3.032	5.308977e-07	5.308977e-07
5.18182	3.032	5.570365e-07	5.570365e-07
5.09091	3.032	5.9309903e-07	5.9309903e-07
5.0	3.032	6.286315e-07	6.286315e-07
4.90909	3.032	6.624602e-07	6.624602e-07
4.81818	3.032	6.65812e-07	6.65812e-07
4.72727	3.032	6.35563e-07	6.35563e-07
4.63636	3.032	5.96041e-07	5.96041e-07
4.54545	3.032	5.4964e-07	5.4964e-07
4.45455	3.032	5.38465e-07	5.38465e-07
4.36364	3.032	5.6241e-07	5.6241e-07
4.27273	3.032	5.70174e-07	5.70174e-07
4.18182	3.032	5.82175e-07	5.82175e-07
4.09091	3.032	5.52188e-07	5.52188e-07
4.0	3.032	4.5192810000000004e-07	4.5192810000000004e-07
3.90909	3.032	3.37417e-07	3.37417e-07
3.81818	3.032	2.1888200000000001e-07	2.1888200000000001e-07
3.72727	3.032	1.4662799999999998e-07	1.4662799999999998e-07
3.63636	3.032	1.4978300000000004e-07	1.4978300000000004e-07
3.54545	3.032	1.67982e-07	1.67982e-07
3.45455	3.032	1.7634900000000004e-07	1.7634900000000004e-07
3.36364	3.032	1.40672e-07	1.40672e-07
3.27273	3.032	3.518900000000001e-08	3.518900000000001e-08
3.18182	3.032	1.0742099999999997e-07	-1.0742099999999997e-07
3.09091	3.032	2.4664099999999997e-07	-2.4664099999999997e-07
3.0	3.032	3.43616e-07	-3.43616e-07
2.90909	3.032	3.5863100000000006e-07	-3.5863100000000006e-07
2.81818	3.032	3.18664e-07	-3.18664e-07
2.72727	3.032	2.8161399999999994e-07	-2.8161399999999994e-07
2.63636	3.032	2.78313e-07	-2.78313e-07
2.54545	3.032	3.5363699999999995e-07	-3.5363699999999995e-07
2.45455	3.032	4.757059999999999e-07	-4.757059999999999e-07
2.36364	3.032	5.885270000000001e-07	-5.885270000000001e-07
2.27273	3.032	6.6699e-07	-6.6699e-07
2.18182	3.032	6.602869999999999e-07	-6.602869999999999e-07
2.09091	3.032	6.00982e-07	-6.00982e-07
2.0	3.032	5.417419999999999e-07	-5.417419999999999e-07
1.90909	3.032	4.87566e-07	-4.87566e-07
1.81818	3.032	4.94389e-07	-4.94389e-07
1.72727	3.032	5.555220000000001e-07	-5.555220000000001e-07
1.63636	3.032	6.055310000000001e-07	-6.055310000000001e-07
1.54545	3.032	6.378e-07	-6.378e-07
1.45455	3.032	6.132969999999999e-07	-6.132969999999999e-07
1.36364	3.032	5.43265e-07	-5.43265e-07
1.27273	3.032	4.829309999999999e-07	-4.829309999999999e-07
1.18182	3.032	4.30007e-07	-4.30007e-07
1.09091	3.032	4.0667300000000006e-07	-4.0667300000000006e-07
1.0	3.032	4.0820799999999987e-07	-4.0820799999999987e-07
0.909091	3.032	3.9740999999999996e-07	-3.9740999999999996e-07
0.818182	3.032	3.775349999999999e-07	-3.775349999999999e-07
0.727273	3.032	3.4852300000000003e-07	-3.4852300000000003e-07
0.636364	3.032	3.075719999999999e-07	-3.075719999999999e-07
0.545455	3.032	2.91999e-07	-2.91999e-07
0.454545	3.032	2.81402e-07	-2.81402e-07
0.363636	3.032	2.828249999999999e-07	-2.828249999999999e-07
0.272727	3.032	3.1420800000000006e-07	-3.1420800000000006e-07
0.181818	3.032	3.2651200000000003e-07	-3.2651200000000003e-07
0.0909091	3.032	1.0303099999999996e-07	-1.0303099999999996e-07
0.0	3.032	1.1816599999999995e-07	1.1816599999999995e-07
9.0	3.02782	1.7968139999999999e-06	-1.7968139999999999e-06
8.90909	3.02782	1.2349720000000001e-06	-1.2349720000000001e-06
8.81818	3.02782	8.93814e-07	-8.93814e-07
8.72728	3.02781	1.0224659999999999e-06	-1.0224659999999999e-06
8.63637	3.02779	9.340789999999999e-07	-9.340789999999999e-07
8.54546	3.02777	9.536199999999998e-07	-9.536199999999998e-07
8.45455	3.02776	8.3394e-07	-8.3394e-07
8.36363	3.02774	7.0351e-07	-7.0351e-07
8.27271	3.02772	6.312900000000004e-07	-6.312900000000004e-07
8.1818	3.02769	5.301100000000001e-07	-5.301100000000001e-07
8.09088	3.02767	4.811700000000002e-07	-4.811700000000002e-07
7.99997	3.02765	4.915700000000001e-07	-4.915700000000001e-07
7.90905	3.02763	4.9853e-07	-4.9853e-07
7.81814	3.02761	3.590399999999997e-07	-3.590399999999997e-07
7.72723	3.0276	1.9180999999999944e-07	-1.9180999999999944e-07
7.63631	3.02758	1.2963999999999983e-07	-1.2963999999999983e-07
7.5454	3.02756	2.056000000000002e-08	-2.056000000000002e-08
7.45449	3.02754	1.0185999999999956e-07	1.0185999999999956e-07
7.36358	3.02752	1.4146e-07	1.4146e-07
7.27268	3.02751	1.7638e-07	1.7638e-07
7.18177	3.02749	1.6754999999999978e-07	1.6754999999999978e-07
7.09086	3.02747	2.1834000000000035e-07	2.1834000000000035e-07
6.99996	3.02746	3.4026000000000053e-07	3.4026000000000053e-07
6.90905	3.02744	3.930899999999998e-07	3.930899999999998e-07
6.81815	3.02743	4.934000000000002e-07	4.934000000000002e-07
6.72724	3.02742	6.241500000000006e-07	6.241500000000006e-07
6.63633	3.0274	6.518800000000004e-07	6.518800000000004e-07
6.54543	3.02739	6.831100000000001e-07	6.831100000000001e-07
6.45452	3.02738	7.7547e-07	7.7547e-07
6.36361	3.02737	8.813400000000002e-07	8.813400000000002e-07
6.27271	3.02736	9.485599999999999e-07	9.485599999999999e-07
6.1818	3.02735	1.01758e-06	1.01758e-06
6.09089	3.02735	1.1535699999999999e-06	1.1535699999999999e-06
5.99998	3.02734	1.2729799999999998e-06	1.2729799999999998e-06
5.90908	3.02733	1.37067e-06	1.37067e-06
5.81817	3.02733	1.47198e-06	1.47198e-06
5.72726	3.02732	1.5570900000000002e-06	1.5570900000000002e-06
5.63635	3.02732	1.6577750000000002e-06	1.6577750000000002e-06
5.54544	3.02731	1.770377e-06	1.770377e-06
5.45454	3.02731	1.843288e-06	1.843288e-06
5.36363	3.0273	1.888933e-06	1.888933e-06
5.27272	3.0273	1.963423e-06	1.963423e-06
5.18181	3.0273	2.091345e-06	2.091345e-06
5.0909	3.0273	2.217188e-06	2.217188e-06
5.0	3.02729	2.3126479999999997e-06	2.3126479999999997e-06
4.90909	3.02729	2.380585e-06	2.380585e-06
4.81818	3.02729	2.3918389999999997e-06	2.3918389999999997e-06
4.72727	3.02729	2.368839e-06	2.368839e-06
4.63636	3.02729	2.362129e-06	2.362129e-06
4.54545	3.02729	2.34019e-06	2.34019e-06
4.45455	3.02729	2.32566e-06	2.32566e-06
4.36364	3.02729	2.307143e-06	2.307143e-06
4.27273	3.02729	2.180879e-06	2.180879e-06
4.18182	3.02729	2.052419e-06	2.052419e-06
4.09091	3.02729	1.926973e-06	1.926973e-06
4.0	3.02729	1.7132408000000002e-06	1.7132408000000002e-06
3.9091	3.0273	1.511662e-06	1.511662e-06
3.81819	3.0273	1.308251e-06	1.308251e-06
3.72728	3.0273	1.0928400000000002e-06	1.0928400000000002e-06
3.63637	3.02731	9.638800000000003e-07	9.638800000000003e-07
3.54546	3.02731	8.240499999999998e-07	8.240499999999998e-07
3.45456	3.02731	6.126999999999999e-07	6.126999999999999e-07
3.36365	3.02732	3.721499999999999e-07	3.721499999999999e-07
3.27274	3.02732	1.5298999999999978e-07	1.5298999999999978e-07
3.18183	3.02733	1.1007000000000003e-07	-1.1007000000000003e-07
3.09092	3.02733	3.682600000000001e-07	-3.682600000000001e-07
3.00002	3.02734	5.894299999999998e-07	-5.894299999999998e-07
2.90911	3.02734	7.564300000000001e-07	-7.564300000000001e-07
2.8182	3.02735	8.5143e-07	-8.5143e-07
2.72729	3.02736	9.810499999999997e-07	-9.810499999999997e-07
2.63639	3.02737	1.1272200000000001e-06	-1.1272200000000001e-06
2.54548	3.02738	1.2971899999999998e-06	-1.2971899999999998e-06
2.45457	3.02739	1.51152e-06	-1.51152e-06
2.36367	3.0274	1.70077e-06	-1.70077e-06
2.27276	3.02741	1.8003099999999998e-06	-1.8003099999999998e-06
2.18185	3.02743	1.85994e-06	-1.85994e-06
2.09095	3.02744	1.8696300000000003e-06	-1.8696300000000003e-06
2.00004	3.02745	1.88599e-06	-1.88599e-06
1.90914	3.02747	1.8932099999999998e-06	-1.8932099999999998e-06
1.81823	3.02748	1.9011500000000004e-06	-1.9011500000000004e-06
1.72733	3.0275	1.95118e-06	-1.95118e-06
1.63642	3.02752	1.93153e-06	-1.93153e-06
1.54551	3.02754	1.9130800000000002e-06	-1.9130800000000002e-06
1.4546	3.02755	1.8980599999999994e-06	-1.8980599999999994e-06
1.36369	3.02757	1.8104599999999996e-06	-1.8104599999999996e-06
1.27278	3.02759	1.7488700000000003e-06	-1.7488700000000003e-06
1.18186	3.02761	1.6904300000000003e-06	-1.6904300000000003e-06
1.09095	3.02763	1.6062799999999996e-06	-1.6062799999999996e-06
1.00003	3.02765	1.5477599999999996e-06	-1.5477599999999996e-06
0.909117	3.02767	1.4851e-06	-1.4851e-06
0.818202	3.02769	1.42244e-06	-1.42244e-06
0.727287	3.02771	1.35627e-06	-1.35627e-06
0.63637	3.02773	1.27337e-06	-1.27337e-06
0.545454	3.02775	1.22549e-06	-1.22549e-06
0.454539	3.02777	1.1718799999999998e-06	-1.1718799999999998e-06
0.363628	3.02779	1.1570800000000002e-06	-1.1570800000000002e-06
0.272721	3.0278	1.22225e-06	-1.22225e-06
0.181815	3.02781	1.2348399999999999e-06	-1.2348399999999999e-06
0.0909091	3.02782	7.30325e-07	-7.30325e-07
0.0	3.02782	2.4352e-07	-2.4352e-07
9.0	3.02345	3.70886e-06	-3.70886e-06
8.90909	3.02346	2.7396799999999997e-06	-2.7396799999999997e-06
8.81819	3.02345	1.9522963e-06	-1.9522963e-06
8.72729	3.02342	1.89707e-06	-1.89707e-06
8.63639	3.02338	1.55939e-06	-1.55939e-06
8.54548	3.02333	1.4757000000000005e-06	-1.4757000000000005e-06
8.45455	3.02328	1.3076299999999995e-06	-1.3076299999999995e-06
8.36362	3.02322	1.0773800000000003e-06	-1.0773800000000003e-06
8.27269	3.02316	9.228300000000003e-07	-9.228300000000003e-07
8.18176	3.02311	6.796199999999991e-07	-6.796199999999991e-07
8.09084	3.02305	4.736199999999997e-07	-4.736199999999997e-07
7.99991	3.02299	3.293000000000004e-07	-3.293000000000004e-07
7.90899	3.02294	1.3235000000000052e-07	-1.3235000000000052e-07
7.81806	3.02288	1.2760000000000027e-07	1.2760000000000027e-07
7.72714	3.02282	2.839999999999993e-07	2.839999999999993e-07
7.63622	3.02277	3.328999999999998e-07	3.328999999999998e-07
7.5453	3.02272	4.707000000000004e-07	4.707000000000004e-07
7.45439	3.02267	6.846000000000002e-07	6.846000000000002e-07
7.36348	3.02262	8.865000000000007e-07	8.865000000000007e-07
7.27257	3.02257	1.0449000000000008e-06	1.0449000000000008e-06
7.18167	3.02252	1.1239499999999996e-06	1.1239499999999996e-06
7.09077	3.02248	1.2176699999999998e-06	1.2176699999999998e-06
6.99987	3.02243	1.34643e-06	1.34643e-06
6.90897	3.02239	1.3741799999999998e-06	1.3741799999999998e-06
6.81807	3.02235	1.469509999999999e-06	1.469509999999999e-06
6.72717	3.02232	1.69396e-06	1.69396e-06
6.63627	3.02228	1.846210000000001e-06	1.846210000000001e-06
6.54537	3.02225	2.0064199999999997e-06	2.0064199999999997e-06
6.45447	3.02222	2.26256e-06	2.26256e-06
6.36356	3.02219	2.5026100000000003e-06	2.5026100000000003e-06
6.27266	3.02216	2.6096500000000005e-06	2.6096500000000005e-06
6.18176	3.02214	2.7222199999999997e-06	2.7222199999999997e-06
6.09085	3.02212	2.9738000000000002e-06	2.9738000000000002e-06
5.99995	3.02209	3.2148899999999996e-06	3.2148899999999996e-06
5.90905	3.02208	3.4655700000000003e-06	3.4655700000000003e-06
5.81814	3.02206	3.74312e-06	3.74312e-06
5.72724	3.02204	3.96994e-06	3.96994e-06
5.63633	3.02203	4.204410000000001e-06	4.204410000000001e-06
5.54542	3.02201	4.44183e-06	4.44183e-06
5.45452	3.022	4.60244e-06	4.60244e-06
5.36361	3.02199	4.722034e-06	4.722034e-06
5.27271	3.02198	4.917957e-06	4.917957e-06
5.1818	3.02198	5.219091e-06	5.219091e-06
5.09089	3.02197	5.501989999999999e-06	5.501989999999999e-06
4.99999	3.02196	5.700909e-06	5.700909e-06
4.90908	3.02196	5.81775e-06	5.81775e-06
4.81817	3.02195	5.85257e-06	5.85257e-06
4.72727	3.02195	5.8332599999999994e-06	5.8332599999999994e-06
4.63636	3.02195	5.826839999999999e-06	5.826839999999999e-06
4.54545	3.02195	5.81923e-06	5.81923e-06
4.45455	3.02195	5.75396e-06	5.75396e-06
4.36364	3.02195	5.6229e-06	5.6229e-06
4.27273	3.02195	5.29149e-06	5.29149e-06
4.18183	3.02195	4.879251e-06	4.879251e-06
4.09092	3.02196	4.499928e-06	4.499928e-06
4.00001	3.02196	4.080621e-06	4.080621e-06
3.90911	3.02197	3.6426900000000004e-06	3.6426900000000004e-06
3.8182	3.02198	3.1803399999999997e-06	3.1803399999999997e-06
3.72729	3.02198	2.7006700000000003e-06	2.7006700000000003e-06
3.63639	3.02199	2.2866999999999996e-06	2.2866999999999996e-06
3.54548	3.022	1.8336000000000005e-06	1.8336000000000005e-06
3.45457	3.02201	1.2377700000000007e-06	1.2377700000000007e-06
3.36367	3.02203	6.217700000000001e-07	6.217700000000001e-07
3.27276	3.02204	1.0918000000000003e-07	1.0918000000000003e-07
3.18186	3.02206	4.481e-07	-4.481e-07
3.09095	3.02207	9.863999999999996e-07	-9.863999999999996e-07
3.00005	3.02209	1.47399e-06	-1.47399e-06
2.90915	3.02211	1.9699500000000005e-06	-1.9699500000000005e-06
2.81824	3.02214	2.37811e-06	-2.37811e-06
2.72734	3.02216	2.7845499999999995e-06	-2.7845499999999995e-06
2.63643	3.02219	3.19171e-06	-3.19171e-06
2.54553	3.02222	3.5403699999999996e-06	-3.5403699999999996e-06
2.45463	3.02225	3.8756199999999995e-06	-3.8756199999999995e-06
2.36373	3.02228	4.197159999999999e-06	-4.197159999999999e-06
2.27283	3.02231	4.396330000000001e-06	-4.396330000000001e-06
2.18193	3.02235	4.58694e-06	-4.58694e-06
2.09102	3.02239	4.7189199999999995e-06	-4.7189199999999995e-06
2.00012	3.02243	4.82189e-06	-4.82189e-06
1.90923	3.02247	4.92331e-06	-4.92331e-06
1.81833	3.02251	4.95239e-06	-4.95239e-06
1.72743	3.02256	4.9703099999999995e-06	-4.9703099999999995e-06
1.63652	3.02261	4.869839999999999e-06	-4.869839999999999e-06
1.54562	3.02266	4.7584e-06	-4.7584e-06
1.4547	3.02271	4.71115e-06	-4.71115e-06
1.36379	3.02276	4.61573e-06	-4.61573e-06
1.27287	3.02282	4.5257e-06	-4.5257e-06
1.18194	3.02288	4.41188e-06	-4.41188e-06
1.09102	3.02293	4.231839999999999e-06	-4.231839999999999e-06
1.00009	3.02299	4.05075e-06	-4.05075e-06
0.909167	3.02305	3.88037e-06	-3.88037e-06
0.81824	3.0231	3.7245599999999996e-06	-3.7245599999999996e-06
0.727312	3.02316	3.5731599999999997e-06	-3.5731599999999997e-06
0.636382	3.02322	3.4108000000000004e-06	-3.4108000000000004e-06
0.545452	3.02327	3.27362e-06	-3.27362e-06
0.454527	3.02332	3.11633e-06	-3.11633e-06
0.363612	3.02337	3.04394e-06	-3.04394e-06
0.272709	3.02341	3.0877900000000005e-06	-3.0877900000000005e-06
0.181811	3.02344	2.9754600000000003e-06	-2.9754600000000003e-06
0.0909091	3.02345	2.09573e-06	-2.09573e-06
0.0	3.02345	1.3401799999999998e-06	-1.3401799999999998e-06
9.0	3.01889	5.77338e-06	-5.77338e-06
8.90909	3.01891	4.487466e-06	-4.487466e-06
8.8182	3.01888	3.336549e-06	-3.336549e-06
8.72731	3.01883	3.1815199999999997e-06	-3.1815199999999997e-06
8.63641	3.01875	2.6952299999999996e-06	-2.6952299999999996e-06
8.54549	3.01866	2.4348999999999993e-06	-2.4348999999999993e-06
8.45456	3.01856	2.1601e-06	-2.1601e-06
8.36361	3.01846	1.7494000000000006e-06	-1.7494000000000006e-06
8.27266	3.01836	1.425900000000001e-06	-1.425900000000001e-06
8.18172	3.01825	1.1081000000000005e-06	-1.1081000000000005e-06
8.09077	3.01814	8.233000000000011e-07	-8.233000000000011e-07
7.99983	3.01803	5.580000000000004e-07	-5.580000000000004e-07
7.90889	3.01793	2.0669999999999922e-07	-2.0669999999999922e-07
7.81795	3.01782	1.4499999999999946e-07	1.4499999999999946e-07
7.72701	3.01772	3.882000000000008e-07	3.882000000000008e-07
7.63608	3.01762	6.280999999999983e-07	6.280999999999983e-07
7.54515	3.01752	9.334000000000002e-07	9.334000000000002e-07
7.45424	3.01742	1.217000000000002e-06	1.217000000000002e-06
7.36333	3.01732	1.5072000000000014e-06	1.5072000000000014e-06
7.27243	3.01723	1.6963999999999995e-06	1.6963999999999995e-06
7.18154	3.01714	1.848699999999998e-06	1.848699999999998e-06
7.09065	3.01706	2.052900000000002e-06	2.052900000000002e-06
6.99976	3.01698	2.2860999999999983e-06	2.2860999999999983e-06
6.90886	3.0169	2.4982000000000026e-06	2.4982000000000026e-06
6.81797	3.01683	2.7408999999999978e-06	2.7408999999999978e-06
6.72708	3.01676	3.0696999999999987e-06	3.0696999999999987e-06
6.63618	3.01669	3.3936999999999994e-06	3.3936999999999994e-06
6.54529	3.01663	3.7181999999999994e-06	3.7181999999999994e-06
6.45439	3.01657	4.104600000000001e-06	4.104600000000001e-06
6.3635	3.01652	4.4994e-06	4.4994e-06
6.2726	3.01647	4.7780799999999995e-06	4.7780799999999995e-06
6.1817	3.01642	5.09157e-06	5.09157e-06
6.0908	3.01637	5.5389699999999986e-06	5.5389699999999986e-06
5.9999	3.01633	5.953160000000001e-06	5.953160000000001e-06
5.909	3.0163	6.39983e-06	6.39983e-06
5.8181	3.01626	6.891840000000001e-06	6.891840000000001e-06
5.7272	3.01623	7.3082e-06	7.3082e-06
5.6363	3.0162	7.726980000000001e-06	7.726980000000001e-06
5.5454	3.01618	8.163619999999999e-06	8.163619999999999e-06
5.45449	3.01616	8.482360000000001e-06	8.482360000000001e-06
5.36359	3.01614	8.741116e-06	8.741116e-06
5.27269	3.01612	9.1267144e-06	9.1267144e-06
5.18178	3.0161	9.664957e-06	9.664957e-06
5.09088	3.01609	1.016318e-05	1.016318e-05
4.99998	3.01608	1.051068e-05	1.051068e-05
4.90907	3.01607	1.071732e-05	1.071732e-05
4.81817	3.01606	1.078538e-05	1.078538e-05
4.72726	3.01605	1.074584e-05	1.074584e-05
4.63636	3.01605	1.0697189999999999e-05	1.0697189999999999e-05
4.54545	3.01605	1.0660020000000001e-05	1.0660020000000001e-05
4.45455	3.01605	1.051063e-05	1.051063e-05
4.36364	3.01605	1.021426e-05	1.021426e-05
4.27274	3.01605	9.65801e-06	9.65801e-06
4.18183	3.01606	8.928023e-06	8.928023e-06
4.09093	3.01607	8.167182e-06	8.167182e-06
4.00002	3.01608	7.41556e-06	7.41556e-06
3.90912	3.01609	6.579780000000001e-06	6.579780000000001e-06
3.81822	3.0161	5.65164e-06	5.65164e-06
3.72731	3.01612	4.7805499999999995e-06	4.7805499999999995e-06
3.63641	3.01614	3.9698699999999995e-06	3.9698699999999995e-06
3.54551	3.01616	3.09219e-06	3.09219e-06
3.4546	3.01618	2.0670900000000002e-06	2.0670900000000002e-06
3.3637	3.0162	1.0194999999999993e-06	1.0194999999999993e-06
3.2728	3.01623	2.5100000000000827e-08	2.5100000000000827e-08
3.1819	3.01626	1.0299e-06	-1.0299e-06
3.091	3.01629	2.0436000000000002e-06	-2.0436000000000002e-06
3.0001	3.01633	2.936199999999999e-06	-2.936199999999999e-06
2.9092	3.01637	3.805400000000001e-06	-3.805400000000001e-06
2.8183	3.01641	4.5878e-06	-4.5878e-06
2.7274	3.01646	5.285699999999999e-06	-5.285699999999999e-06
2.6365	3.01651	5.965800000000001e-06	-5.965800000000001e-06
2.54561	3.01657	6.593000000000001e-06	-6.593000000000001e-06
2.45471	3.01662	7.1436000000000005e-06	-7.1436000000000005e-06
2.36382	3.01668	7.666500000000002e-06	-7.666500000000002e-06
2.27292	3.01675	8.0643e-06	-8.0643e-06
2.18203	3.01682	8.3427e-06	-8.3427e-06
2.09114	3.01689	8.549799999999999e-06	-8.549799999999999e-06
2.00024	3.01697	8.7027e-06	-8.7027e-06
1.90935	3.01705	8.807099999999999e-06	-8.807099999999999e-06
1.81846	3.01713	8.835900000000001e-06	-8.835900000000001e-06
1.72757	3.01722	8.829200000000002e-06	-8.829200000000002e-06
1.63667	3.01731	8.7152e-06	-8.7152e-06
1.54576	3.01741	8.5291e-06	-8.5291e-06
1.45485	3.01751	8.353300000000002e-06	-8.353300000000002e-06
1.36393	3.01761	8.1631e-06	-8.1631e-06
1.27299	3.01771	7.943699999999998e-06	-7.943699999999998e-06
1.18206	3.01782	7.6825e-06	-7.6825e-06
1.09112	3.01792	7.391730000000001e-06	-7.391730000000001e-06
1.00017	3.01803	7.088339999999999e-06	-7.088339999999999e-06
0.909235	3.01814	6.77776e-06	-6.77776e-06
0.818292	3.01824	6.48447e-06	-6.48447e-06
0.727347	3.01835	6.2226500000000005e-06	-6.2226500000000005e-06
0.636398	3.01845	5.94511e-06	-5.94511e-06
0.54545	3.01855	5.7071800000000005e-06	-5.7071800000000005e-06
0.454512	3.01865	5.465240000000001e-06	-5.465240000000001e-06
0.363591	3.01873	5.34798e-06	-5.34798e-06
0.272693	3.01881	5.356219999999999e-06	-5.356219999999999e-06
0.181804	3.01886	5.05658e-06	-5.05658e-06
0.0909091	3.01889	3.8119999999999997e-06	-3.8119999999999997e-06
0.0	3.01889	2.83921e-06	-2.83921e-06
9.0	3.01413	7.82387e-06	-7.82387e-06
8.90909	3.01415	6.3273479e-06	-6.3273479e-06
