Points:0	Points:1	abs_DELTA_U0	DELTA_U0
5.36364	3.032	9.42199999999999e-05	-9.42199999999999e-05
5.27273	3.032	0.00011320000000000037	-0.00011320000000000037
5.18182	3.032	0.0001332499999999997	-0.0001332499999999997
5.09091	3.032	0.00015462999999999978	-0.00015462999999999978
5.0	3.032	0.0001770700000000003	-0.0001770700000000003
4.90909	3.032	0.00020016	-0.00020016
4.81818	3.032	0.00022356999999999976	-0.00022356999999999976
4.72727	3.032	0.0002470999999999999	-0.0002470999999999999
4.63636	3.032	0.0002705800000000001	-0.0002705800000000001
4.54545	3.032	0.0002939300000000002	-0.0002939300000000002
4.45455	3.032	0.0003172200000000002	-0.0003172200000000002
4.36364	3.032	0.00034025000000000006	-0.00034025000000000006
4.27273	3.032	0.0003624599999999998	-0.0003624599999999998
4.18182	3.032	0.0003832899999999999	-0.0003832899999999999
4.09091	3.032	0.0004026100000000001	-0.0004026100000000001
4.0	3.032	0.0004203900000000001	-0.0004203900000000001
3.90909	3.032	0.00043650000000000004	-0.00043650000000000004
3.81818	3.032	0.00045076999999999986	-0.00045076999999999986
3.72727	3.032	0.00046323000000000024	-0.00046323000000000024
3.63636	3.032	0.00047411	-0.00047411
3.54545	3.032	0.0004844900000000002	-0.0004844900000000002
3.45455	3.032	0.0004928199999999999	-0.0004928199999999999
3.36364	3.032	0.0004977700000000002	-0.0004977700000000002
3.27273	3.032	0.00050052	-0.00050052
3.18182	3.032	0.0005008800000000002	-0.0005008800000000002
3.09091	3.032	0.00050018	-0.00050018
3.0	3.032	0.0004974199999999997	-0.0004974199999999997
2.90909	3.032	0.0004913299999999999	-0.0004913299999999999
2.81818	3.032	0.0004845399999999999	-0.0004845399999999999
2.72727	3.032	0.00047604000000000006	-0.00047604000000000006
2.63636	3.032	0.0004658399999999999	-0.0004658399999999999
2.54545	3.032	0.00045385	-0.00045385
2.45455	3.032	0.0004401399999999999	-0.0004401399999999999
2.36364	3.032	0.00042492000000000007	-0.00042492000000000007
2.27273	3.032	0.0004085	-0.0004085
2.18182	3.032	0.0003924499999999999	-0.0003924499999999999
2.09091	3.032	0.0003740699999999998	-0.0003740699999999998
2.0	3.032	0.00035486999999999975	-0.00035486999999999975
1.90909	3.032	0.00033650999999999993	-0.00033650999999999993
1.81818	3.032	0.0003177799999999997	-0.0003177799999999997
1.72727	3.032	0.00029728	-0.00029728
1.63636	3.032	0.00027654000000000003	-0.00027654000000000003
1.54545	3.032	0.0002572299999999998	-0.0002572299999999998
1.45455	3.032	0.00023799	-0.00023799
1.36364	3.032	0.0002188800000000003	-0.0002188800000000003
1.27273	3.032	0.0001999599999999999	-0.0001999599999999999
1.18182	3.032	0.00018124000000000005	-0.00018124000000000005
1.09091	3.032	0.00016284000000000003	-0.00016284000000000003
1.0	3.032	0.0001448300000000003	-0.0001448300000000003
0.909091	3.032	0.0001273400000000001	-0.0001273400000000001
0.818182	3.032	0.00011041000000000002	-0.00011041000000000002
0.727273	3.032	9.391999999999994e-05	-9.391999999999994e-05
0.636364	3.032	7.814999999999992e-05	-7.814999999999992e-05
0.545455	3.032	6.296999999999987e-05	-6.296999999999987e-05
0.454545	3.032	4.828999999999988e-05	-4.828999999999988e-05
0.363636	3.032	3.45800000000002e-05	-3.45800000000002e-05
0.272727	3.032	1.872999999999979e-05	-1.872999999999979e-05
0.181818	3.032	1.929999999999814e-06	-1.929999999999814e-06
0.0909091	3.032	8.909999999999994e-06	8.909999999999994e-06
0.0	3.032	1.2219999999999853e-05	1.2219999999999853e-05
9.0	3.02782	3.333999999999976e-05	3.333999999999976e-05
8.90909	3.02782	5.0460000000000435e-05	5.0460000000000435e-05
8.81818	3.02782	7.317e-05	7.317e-05
8.72728	3.02781	9.127000000000007e-05	9.127000000000007e-05
8.63637	3.02779	0.00011032999999999963	0.00011032999999999963
8.54546	3.02777	0.0001266399999999999	0.0001266399999999999
8.45455	3.02776	0.0001420900000000001	0.0001420900000000001
8.36363	3.02774	0.0001543600000000001	0.0001543600000000001
8.27271	3.02772	0.00016646000000000022	0.00016646000000000022
8.1818	3.02769	0.00017672	0.00017672
8.09088	3.02767	0.00018521999999999983	0.00018521999999999983
7.99997	3.02765	0.00019154999999999953	0.00019154999999999953
7.90905	3.02763	0.00019480000000000018	0.00019480000000000018
7.81814	3.02761	0.00019667000000000035	0.00019667000000000035
7.72723	3.0276	0.0001988399999999996	0.0001988399999999996
7.63631	3.02758	0.00019904000000000015	0.00019904000000000015
7.5454	3.02756	0.00019747999999999988	0.00019747999999999988
7.45449	3.02754	0.00019293999999999995	0.00019293999999999995
7.36358	3.02752	0.00018796000000000004	0.00018796000000000004
7.27268	3.02751	0.00018367000000000036	0.00018367000000000036
7.18177	3.02749	0.00017681000000000033	0.00017681000000000033
7.09086	3.02747	0.00016900999999999982	0.00016900999999999982
6.99996	3.02746	0.00015963999999999996	0.00015963999999999996
6.90905	3.02744	0.00015048999999999965	0.00015048999999999965
6.81815	3.02743	0.00014029999999999945	0.00014029999999999945
6.72724	3.02742	0.00012883999999999986	0.00012883999999999986
6.63633	3.0274	0.00011509999999999992	0.00011509999999999992
6.54543	3.02739	9.885000000000015e-05	9.885000000000015e-05
6.45452	3.02738	8.192000000000008e-05	8.192000000000008e-05
6.36361	3.02737	6.339999999999991e-05	6.339999999999991e-05
6.27271	3.02736	4.39100000000003e-05	4.39100000000003e-05
6.1818	3.02735	2.2639999999999987e-05	2.2639999999999987e-05
6.09089	3.02735	2.5000000000025e-07	-2.5000000000025e-07
5.99998	3.02734	2.5869999999999886e-05	-2.5869999999999886e-05
5.90908	3.02733	5.284000000000018e-05	-5.284000000000018e-05
5.81817	3.02733	8.19000000000002e-05	-8.19000000000002e-05
5.72726	3.02732	0.00011402000000000027	-0.00011402000000000027
5.63635	3.02732	0.00014751	-0.00014751
5.54544	3.02731	0.0001813499999999994	-0.0001813499999999994
5.45454	3.02731	0.00021669000000000029	-0.00021669000000000029
5.36363	3.0273	0.00025518999999999976	-0.00025518999999999976
5.27272	3.0273	0.0002943700000000004	-0.0002943700000000004
5.18181	3.0273	0.00033558000000000025	-0.00033558000000000025
5.0909	3.0273	0.0003790499999999997	-0.0003790499999999997
5.0	3.02729	0.0004244000000000001	-0.0004244000000000001
4.90909	3.02729	0.0004709600000000003	-0.0004709600000000003
4.81818	3.02729	0.0005179600000000005	-0.0005179600000000005
4.72727	3.02729	0.0005660700000000001	-0.0005660700000000001
4.63636	3.02729	0.0006136900000000001	-0.0006136900000000001
4.54545	3.02729	0.0006610399999999999	-0.0006610399999999999
4.45455	3.02729	0.0007081300000000004	-0.0007081300000000004
4.36364	3.02729	0.00075435	-0.00075435
4.27273	3.02729	0.0007986299999999998	-0.0007986299999999998
4.18182	3.02729	0.0008399700000000002	-0.0008399700000000002
4.09091	3.02729	0.0008790999999999998	-0.0008790999999999998
4.0	3.02729	0.0009147999999999999	-0.0009147999999999999
3.9091	3.0273	0.0009470199999999998	-0.0009470199999999998
3.81819	3.0273	0.0009753300000000004	-0.0009753300000000004
3.72728	3.0273	0.0009996200000000005	-0.0009996200000000005
3.63637	3.02731	0.0010202500000000003	-0.0010202500000000003
3.54546	3.02731	0.0010383299999999996	-0.0010383299999999996
3.45456	3.02731	0.0010533499999999998	-0.0010533499999999998
3.36365	3.02732	0.0010622899999999996	-0.0010622899999999996
3.27274	3.02732	0.00106661	-0.00106661
3.18183	3.02733	0.0010659999999999992	-0.0010659999999999992
3.09092	3.02733	0.00106177	-0.00106177
3.00002	3.02734	0.0010531199999999994	-0.0010531199999999994
2.90911	3.02734	0.0010396400000000005	-0.0010396400000000005
2.8182	3.02735	0.0010234199999999997	-0.0010234199999999997
2.72729	3.02736	0.0010037199999999996	-0.0010037199999999996
2.63639	3.02737	0.0009816	-0.0009816
2.54548	3.02738	0.0009557299999999993	-0.0009557299999999993
2.45457	3.02739	0.0009259000000000003	-0.0009259000000000003
2.36367	3.0274	0.0008928799999999995	-0.0008928799999999995
2.27276	3.02741	0.0008588400000000005	-0.0008588400000000005
2.18185	3.02743	0.0008240499999999998	-0.0008240499999999998
2.09095	3.02744	0.0007855800000000001	-0.0007855800000000001
2.00004	3.02745	0.0007469400000000006	-0.0007469400000000006
1.90914	3.02747	0.0007068200000000004	-0.0007068200000000004
1.81823	3.02748	0.0006664899999999996	-0.0006664899999999996
1.72733	3.0275	0.00062582	-0.00062582
1.63642	3.02752	0.0005837700000000008	-0.0005837700000000008
1.54551	3.02754	0.00054403	-0.00054403
1.4546	3.02755	0.0005039000000000007	-0.0005039000000000007
1.36369	3.02757	0.0004638699999999999	-0.0004638699999999999
1.27278	3.02759	0.0004244700000000006	-0.0004244700000000006
1.18186	3.02761	0.00038546000000000066	-0.00038546000000000066
1.09095	3.02763	0.00034816000000000014	-0.00034816000000000014
1.00003	3.02765	0.00031203000000000047	-0.00031203000000000047
0.909117	3.02767	0.00027656000000000035	-0.00027656000000000035
0.818202	3.02769	0.00024225999999999935	-0.00024225999999999935
0.727287	3.02771	0.0002094699999999998	-0.0002094699999999998
0.63637	3.02773	0.00017644999999999987	-0.00017644999999999987
0.545454	3.02775	0.00014498999999999936	-0.00014498999999999936
0.454539	3.02777	0.00011484999999999967	-0.00011484999999999967
0.363628	3.02779	8.535000000000053e-05	-8.535000000000053e-05
0.272721	3.0278	5.522999999999986e-05	-5.522999999999986e-05
0.181815	3.02781	2.3459999999999454e-05	-2.3459999999999454e-05
0.0909091	3.02782	2.5000000000025e-07	2.5000000000025e-07
0.0	3.02782	8.360000000000659e-06	8.360000000000659e-06
9.0	3.02345	4.7779999999999004e-05	-4.7779999999999004e-05
8.90909	3.02346	2.522999999999935e-05	-2.522999999999935e-05
8.81819	3.02345	5.7700000000004276e-06	5.7700000000004276e-06
8.72729	3.02342	2.8860000000000344e-05	2.8860000000000344e-05
8.63639	3.02338	5.0619999999999485e-05	5.0619999999999485e-05
8.54548	3.02333	6.85600000000005e-05	6.85600000000005e-05
8.45455	3.02328	8.670000000000032e-05	8.670000000000032e-05
8.36362	3.02322	0.00010194999999999996	0.00010194999999999996
8.27269	3.02316	0.00011572999999999965	0.00011572999999999965
8.18176	3.02311	0.0001263600000000007	0.0001263600000000007
8.09084	3.02305	0.00013661000000000055	0.00013661000000000055
7.99991	3.02299	0.0001441399999999992	0.0001441399999999992
7.90899	3.02294	0.00014608999999999976	0.00014608999999999976
7.81806	3.02288	0.00014665999999999985	0.00014665999999999985
7.72714	3.02282	0.00014693999999999992	0.00014693999999999992
7.63622	3.02277	0.00014517999999999996	0.00014517999999999996
7.5453	3.02272	0.00014108999999999997	0.00014108999999999997
7.45439	3.02267	0.00013412999999999967	0.00013412999999999967
7.36348	3.02262	0.00012656000000000125	0.00012656000000000125
7.27257	3.02257	0.00011852000000000043	0.00011852000000000043
7.18167	3.02252	0.00010826999999999885	0.00010826999999999885
7.09077	3.02248	9.602000000000048e-05	9.602000000000048e-05
6.99987	3.02243	8.256000000000062e-05	8.256000000000062e-05
6.90897	3.02239	6.894999999999991e-05	6.894999999999991e-05
6.81807	3.02235	5.28200000000003e-05	5.28200000000003e-05
6.72717	3.02232	3.4430000000000224e-05	3.4430000000000224e-05
6.63627	3.02228	1.4059999999999767e-05	1.4059999999999767e-05
6.54537	3.02225	9.839999999999675e-06	-9.839999999999675e-06
6.45447	3.02222	3.506999999999989e-05	-3.506999999999989e-05
6.36356	3.02219	6.199999999999956e-05	-6.199999999999956e-05
6.27266	3.02216	9.239000000000035e-05	-9.239000000000035e-05
6.18176	3.02214	0.00012489999999999984	-0.00012489999999999984
6.09085	3.02212	0.00015899000000000035	-0.00015899000000000035
5.99995	3.02209	0.0001961599999999999	-0.0001961599999999999
5.90905	3.02208	0.00023649000000000066	-0.00023649000000000066
5.81814	3.02206	0.0002799899999999999	-0.0002799899999999999
5.72724	3.02204	0.00032657	-0.00032657
5.63633	3.02203	0.00037503999999999923	-0.00037503999999999923
5.54542	3.02201	0.0004254599999999999	-0.0004254599999999999
5.45452	3.022	0.00047750999999999957	-0.00047750999999999957
5.36361	3.02199	0.0005328099999999999	-0.0005328099999999999
5.27271	3.02198	0.0005894699999999999	-0.0005894699999999999
5.1818	3.02198	0.0006487000000000003	-0.0006487000000000003
5.09089	3.02197	0.0007116400000000004	-0.0007116400000000004
4.99999	3.02196	0.0007777899999999996	-0.0007777899999999996
4.90908	3.02196	0.0008452999999999994	-0.0008452999999999994
4.81817	3.02195	0.0009130600000000003	-0.0009130600000000003
4.72727	3.02195	0.00098146	-0.00098146
4.63636	3.02195	0.0010488699999999995	-0.0010488699999999995
4.54545	3.02195	0.0011167400000000006	-0.0011167400000000006
4.45455	3.02195	0.00118375	-0.00118375
4.36364	3.02195	0.00124886	-0.00124886
4.27273	3.02195	0.0013118399999999999	-0.0013118399999999999
4.18183	3.02195	0.0013703400000000003	-0.0013703400000000003
4.09092	3.02196	0.0014247599999999997	-0.0014247599999999997
4.00001	3.02196	0.0014737200000000004	-0.0014737200000000004
3.90911	3.02197	0.0015174300000000002	-0.0015174300000000002
3.8182	3.02198	0.0015562199999999997	-0.0015562199999999997
3.72729	3.02198	0.0015895099999999997	-0.0015895099999999997
3.63639	3.02199	0.001617079999999999	-0.001617079999999999
3.54548	3.022	0.001638820000000001	-0.001638820000000001
3.45457	3.02201	0.0016560000000000004	-0.0016560000000000004
3.36367	3.02203	0.0016657799999999995	-0.0016657799999999995
3.27276	3.02204	0.001668349999999999	-0.001668349999999999
3.18186	3.02206	0.0016639199999999993	-0.0016639199999999993
3.09095	3.02207	0.0016533099999999998	-0.0016533099999999998
3.00005	3.02209	0.0016365799999999995	-0.0016365799999999995
2.90915	3.02211	0.0016142299999999995	-0.0016142299999999995
2.81824	3.02214	0.0015859399999999992	-0.0015859399999999992
2.72734	3.02216	0.001553510000000001	-0.001553510000000001
2.63643	3.02219	0.0015179199999999999	-0.0015179199999999999
2.54553	3.02222	0.0014762599999999992	-0.0014762599999999992
2.45463	3.02225	0.0014302400000000002	-0.0014302400000000002
2.36373	3.02228	0.00138148	-0.00138148
2.27283	3.02231	0.0013300699999999992	-0.0013300699999999992
2.18193	3.02235	0.0012746400000000005	-0.0012746400000000005
2.09102	3.02239	0.0012178700000000002	-0.0012178700000000002
2.00012	3.02243	0.0011614699999999995	-0.0011614699999999995
1.90923	3.02247	0.0011004799999999992	-0.0011004799999999992
1.81833	3.02251	0.0010402599999999994	-0.0010402599999999994
1.72743	3.02256	0.0009824200000000012	-0.0009824200000000012
1.63652	3.02261	0.0009221699999999999	-0.0009221699999999999
1.54562	3.02266	0.0008624400000000008	-0.0008624400000000008
1.4547	3.02271	0.0008039199999999996	-0.0008039199999999996
1.36379	3.02276	0.0007466999999999994	-0.0007466999999999994
1.27287	3.02282	0.0006889599999999989	-0.0006889599999999989
1.18194	3.02288	0.0006334900000000004	-0.0006334900000000004
1.09102	3.02293	0.0005812499999999984	-0.0005812499999999984
1.00009	3.02299	0.0005289200000000004	-0.0005289200000000004
0.909167	3.02305	0.0004781799999999999	-0.0004781799999999999
0.81824	3.0231	0.00042928000000000063	-0.00042928000000000063
0.727312	3.02316	0.0003823400000000001	-0.0003823400000000001
0.636382	3.02322	0.00033632999999999927	-0.00033632999999999927
0.545452	3.02327	0.0002931299999999991	-0.0002931299999999991
0.454527	3.02332	0.00025132999999999926	-0.00025132999999999926
0.363612	3.02337	0.000209309999999999	-0.000209309999999999
0.272709	3.02341	0.00016825	-0.00016825
0.181811	3.02344	0.00012579000000000062	-0.00012579000000000062
0.0909091	3.02345	9.075000000000055e-05	-9.075000000000055e-05
0.0	3.02345	7.747999999999956e-05	-7.747999999999956e-05
9.0	3.01889	8.810000000000068e-05	-8.810000000000068e-05
8.90909	3.01891	6.360000000000046e-05	-6.360000000000046e-05
8.8182	3.01888	3.090000000000037e-05	-3.090000000000037e-05
8.72731	3.01883	7.79999999999878e-06	-7.79999999999878e-06
8.63641	3.01875	1.460000000000003e-05	1.460000000000003e-05
8.54549	3.01866	3.0300000000000465e-05	3.0300000000000465e-05
8.45456	3.01856	4.6499999999999667e-05	4.6499999999999667e-05
8.36361	3.01846	5.9100000000001165e-05	5.9100000000001165e-05
8.27266	3.01836	6.699999999999935e-05	6.699999999999935e-05
8.18172	3.01825	7.260000000000079e-05	7.260000000000079e-05
8.09077	3.01814	7.790000000000054e-05	7.790000000000054e-05
7.99983	3.01803	8.010000000000135e-05	8.010000000000135e-05
7.90889	3.01793	7.749999999999944e-05	7.749999999999944e-05
7.81795	3.01782	7.309999999999955e-05	7.309999999999955e-05
7.72701	3.01772	6.689999999999995e-05	6.689999999999995e-05
7.63608	3.01762	5.829999999999898e-05	5.829999999999898e-05
7.54515	3.01752	4.780000000000062e-05	4.780000000000062e-05
7.45424	3.01742	3.4199999999999856e-05	3.4199999999999856e-05
7.36333	3.01732	1.8900000000000514e-05	1.8900000000000514e-05
7.27243	3.01723	2.1999999999990777e-06	2.1999999999990777e-06
7.18154	3.01714	1.4399999999999483e-05	-1.4399999999999483e-05
7.09065	3.01706	3.3199999999998855e-05	-3.3199999999998855e-05
6.99976	3.01698	5.430000000000018e-05	-5.430000000000018e-05
6.90886	3.0169	7.700000000000068e-05	-7.700000000000068e-05
6.81797	3.01683	0.0001010000000000004	-0.0001010000000000004
6.72708	3.01676	0.0001276999999999997	-0.0001276999999999997
6.63618	3.01669	0.00015689999999999975	-0.00015689999999999975
6.54529	3.01663	0.00018830000000000062	-0.00018830000000000062
6.45439	3.01657	0.00022310000000000038	-0.00022310000000000038
6.3635	3.01652	0.0002599200000000003	-0.0002599200000000003
6.2726	3.01647	0.0003011699999999999	-0.0003011699999999999
6.1817	3.01642	0.00034447999999999944	-0.00034447999999999944
6.0908	3.01637	0.00038991000000000026	-0.00038991000000000026
5.9999	3.01633	0.0004392000000000007	-0.0004392000000000007
5.909	3.0163	0.0004903399999999988	-0.0004903399999999988
5.8181	3.01626	0.0005450999999999998	-0.0005450999999999998
5.7272	3.01623	0.0006034899999999999	-0.0006034899999999999
5.6363	3.0162	0.0006635899999999986	-0.0006635899999999986
5.5454	3.01618	0.0007264899999999998	-0.0007264899999999998
5.45449	3.01616	0.0007927000000000003	-0.0007927000000000003
5.36359	3.01614	0.0008610200000000005	-0.0008610200000000005
5.27269	3.01612	0.0009310100000000012	-0.0009310100000000012
5.18178	3.0161	0.0010043399999999994	-0.0010043399999999994
5.09088	3.01609	0.001081229999999999	-0.001081229999999999
4.99998	3.01608	0.0011618099999999992	-0.0011618099999999992
4.90907	3.01607	0.0012440200000000002	-0.0012440200000000002
4.81817	3.01606	0.00132613	-0.00132613
4.72726	3.01605	0.001406929999999999	-0.001406929999999999
4.63636	3.01605	0.0014871699999999995	-0.0014871699999999995
4.54545	3.01605	0.0015680599999999996	-0.0015680599999999996
4.45455	3.01605	0.0016467400000000007	-0.0016467400000000007
4.36364	3.01605	0.001722109999999999	-0.001722109999999999
4.27274	3.01605	0.0017951900000000003	-0.0017951900000000003
4.18183	3.01606	0.0018633	-0.0018633
4.09093	3.01607	0.0019243999999999997	-0.0019243999999999997
4.00002	3.01608	0.00197867	-0.00197867
3.90912	3.01609	0.0020266700000000012	-0.0020266700000000012
3.81822	3.0161	0.00206867	-0.00206867
3.72731	3.01612	0.002103259999999999	-0.002103259999999999
3.63641	3.01614	0.00212968	-0.00212968
3.54551	3.01616	0.002149100000000001	-0.002149100000000001
3.4546	3.01618	0.0021620600000000004	-0.0021620600000000004
3.3637	3.0162	0.0021668999999999994	-0.0021668999999999994
3.2728	3.01623	0.00216241	-0.00216241
3.1819	3.01626	0.0021497300000000007	-0.0021497300000000007
3.091	3.01629	0.002129899999999999	-0.002129899999999999
3.0001	3.01633	0.002102419999999999	-0.002102419999999999
2.9092	3.01637	0.0020690599999999993	-0.0020690599999999993
2.8183	3.01641	0.00202805	-0.00202805
2.7274	3.01646	0.001981769999999999	-0.001981769999999999
2.6365	3.01651	0.00193048	-0.00193048
2.54561	3.01657	0.0018733800000000009	-0.0018733800000000009
2.45471	3.01662	0.0018121000000000005	-0.0018121000000000005
2.36382	3.01668	0.0017481000000000007	-0.0017481000000000007
2.27292	3.01675	0.0016798000000000004	-0.0016798000000000004
2.18203	3.01682	0.0016077999999999995	-0.0016077999999999995
2.09114	3.01689	0.001535100000000001	-0.001535100000000001
2.00024	3.01697	0.0014605	-0.0014605
1.90935	3.01705	0.0013845999999999997	-0.0013845999999999997
1.81846	3.01713	0.0013092	-0.0013092
1.72757	3.01722	0.001235	-0.001235
1.63667	3.01731	0.0011602000000000001	-0.0011602000000000001
1.54576	3.01741	0.001084700000000001	-0.001084700000000001
1.45485	3.01751	0.001011999999999999	-0.001011999999999999
1.36393	3.01761	0.0009417000000000002	-0.0009417000000000002
1.27299	3.01771	0.0008704999999999997	-0.0008704999999999997
1.18206	3.01782	0.0008028000000000011	-0.0008028000000000011
1.09112	3.01792	0.0007387000000000001	-0.0007387000000000001
1.00017	3.01803	0.0006732999999999999	-0.0006732999999999999
0.909235	3.01814	0.0006102	-0.0006102
0.818292	3.01824	0.0005506	-0.0005506
0.727347	3.01835	0.0004919	-0.0004919
0.636398	3.01845	0.000435399999999999	-0.000435399999999999
0.54545	3.01855	0.00038299999999999966	-0.00038299999999999966
0.454512	3.01865	0.0003314000000000008	-0.0003314000000000008
0.363591	3.01873	0.00027969999999999905	-0.00027969999999999905
0.272693	3.01881	0.00022969999999999935	-0.00022969999999999935
0.181804	3.01886	0.00018029999999999956	-0.00018029999999999956
0.0909091	3.01889	0.0001377999999999987	-0.0001377999999999987
0.0	3.01889	0.00011990000000000091	-0.00011990000000000091
9.0	3.01413	3.659999999999948e-05	-3.659999999999948e-05
8.90909	3.01415	1.370000000000017e-05	-1.370000000000017e-05
8.8182	3.0141	1.7699999999998967e-05	1.7699999999998967e-05
8.72733	3.01403	4.1900000000000964e-05	4.1900000000000964e-05
8.63644	3.01391	6.82000000000009e-05	6.82000000000009e-05
